"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2152","Validar busca funcional com termos genéricos","","Thu Apr 16 16:42:06 UTC 2026","passed","Thu Apr 16 16:42:08 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
"","355","Validar contrato e integridade das imagens Validar raça: husky","","Thu Apr 16 16:42:21 UTC 2026","passed","Thu Apr 16 16:42:22 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","267","Validar estrutura da lista e raças principais","","Thu Apr 16 16:42:22 UTC 2026","passed","Thu Apr 16 16:42:23 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","210","Validar erro 404 para raça inexistente","","Thu Apr 16 16:42:22 UTC 2026","passed","Thu Apr 16 16:42:22 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","230","Validar tempo de resposta","","Thu Apr 16 16:42:20 UTC 2026","passed","Thu Apr 16 16:42:20 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","683","Validar busca funcional com termos inexistente","","Thu Apr 16 16:42:10 UTC 2026","passed","Thu Apr 16 16:42:11 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","buscarTermoInexistente"
"","710","Validar busca com termo de artigo existente","","Thu Apr 16 16:42:09 UTC 2026","passed","Thu Apr 16 16:42:10 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarBuscaComSucesso"
"","231","Validar contrato e integridade das imagens Validar raça: akita","","Thu Apr 16 16:42:22 UTC 2026","passed","Thu Apr 16 16:42:22 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","221","BUG: Erro 400 para contagem negativa","","Thu Apr 16 16:42:19 UTC 2026","failed","Thu Apr 16 16:42:19 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNegativo"
"","1002","Validar contrato e status success","","Thu Apr 16 16:42:18 UTC 2026","passed","Thu Apr 16 16:42:19 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
